country,continent,population,cases,todayCases,deaths,todayDeaths,recovered,active,critical,casesPerOneMillion,deathsPerOneMillion,recoveredPerOneMillion,death_rate,recovery_rate
Uruguay,South America,3496016,1041111,0,7664,0,1030944,2503,18,297799,2192,294891.1,0.7361366847531147,99.02344706760374
Uzbekistan,Asia,34382084,253662,0,1637,0,241486,10539,23,7378,48,7023.6,0.6453469577626921,95.19991169351341
Vanuatu,Australia-Oceania,321832,12019,0,14,0,11976,29,0,37346,44,37211.96,0.11648223645894001,99.64223313087611
Venezuela,South America,29266991,552695,0,5856,0,546537,302,31,18885,200,18674.18,1.0595355485394296,98.88582310315816
Vietnam,Asia,98953541,11625195,0,43206,0,10640971,941018,0,117481,437,107535.02,0.37165828186107847,91.53369900461885
Wallis and Futuna,Australia-Oceania,10982,3550,0,8,0,438,3104,0,323256,728,39883.45,0.22535211267605634,12.338028169014084
Western Sahara,Africa,626161,10,0,1,0,9,0,0,16,2,14.37,10.0,90.0
Yemen,Asia,31154867,11945,0,2159,0,9124,662,0,383,69,292.86,18.07450816241105,76.38342402678944
Zambia,Africa,19470234,349304,0,4069,0,341316,3919,0,17940,209,17530.14,1.1648878913496552,97.7131667544603
Zimbabwe,Africa,15331428,266359,0,5740,0,258888,1731,12,17373,374,16886.1,2.1549863154614637,97.19513889149607
